Name,Username,Url,Followers,Following,Tweets,Bio,Can_DM,Location,Joined_X,Translator,Likes,BlueTick,DefaultPic,RawScore,TotalScore
smplyngozi,https://x.com/smplyngozi,850,357,3531,100
young__Emmy,https://x.com/young__Emmy,1958,1627,11380,100
yanjumoney,https://x.com/yanjumoney,1775,1075,38877,100
EmbeeAFC,https://x.com/EmbeeAFC,2540,2778,3994,100
francisonyeadum,https://x.com/francisonyeadum,126,397,313,94
Doninlagos,https://x.com/Doninlagos,1238,859,6552,100
Harbidemi2010,https://x.com/Harbidemi2010,1077,1111,2744,89
Nenyenwa003,https://x.com/Nenyenwa003,4,90,19,4
False,somwhere in europe 🙂,2023,90,19,94
BStilwelln36777,https://x.com/BStilwelln36777,5,25,0,83
IMarjoryz50435,https://x.com/IMarjoryz50435,5,32,0,72
MichaelHou29010,https://x.com/MichaelHou29010,164,168,52,94
Simpe27906367,https://x.com/Simpe27906367,309,635,13322,100
Certifiedthug9,https://x.com/Certifiedthug9,213,853,397,94
Mo_Jokeh,https://x.com/Mo_Jokeh,461,1040,201,89
cyrus_enough,https://x.com/cyrus_enough,23,85,16,78
hagathongo,https://x.com/hagathongo,388,758,285,100
kosy_rex,https://x.com/kosy_rex,2084,3012,27277,30310
,,2084,3012,27277,100
,,2084,3012,27277,100
,,2084,3012,27277,100
